id,source_canonical_name,source_aliases_json,source_group_name,source_pregnancy_severity,source_breastfeeding_severity,source_rationale,source_non_overridable_boolean
154,Silica,[],Base,safe,safe,Absorbent/texture agent; generally safe.,False
155,Mica,[],Makeup Pigments,safe,safe,Mineral pigment/texture; generally safe.,False
156,Iron Oxides,"[""ci 77491"", ""ci 77492"", ""ci 77499""]",Makeup Pigments,safe,safe,Mineral colorants; generally safe.,False
158,Sodium Laureth Sulfate,"[""sles""]",Surfactants,safe,safe,Common cleansing surfactant; generally safe but can be drying/irritating.,False
159,Sodium Lauryl Sulfate,"[""sls""]",Surfactants,safe,safe,Cleansing surfactant; generally safe but can be irritating.,False
160,Cocamidopropyl Betaine,"[""capb""]",Surfactants,safe,safe,Mild surfactant; generally safe (possible allergen for some).,False
161,Decyl Glucoside,[],Surfactants,safe,safe,Mild sugar-based surfactant; generally safe.,False
162,Coco-Glucoside,[],Surfactants,safe,safe,Mild sugar-based surfactant; generally safe.,False
163,Lauryl Glucoside,[],Surfactants,safe,safe,Mild surfactant; generally safe.,False
164,Alcohol Denat.,"[""denatured alcohol"", ""sd alcohol 40-b"", ""ethanol""]",Solvents,safe,safe,Volatile solvent used for texture/quick-dry; generally safe but can be drying/irritating.,False
165,Isopropyl Alcohol,"[""propan-2-ol""]",Solvents,safe,safe,Solvent; generally safe in cosmetics but can be drying/irritating.,False
166,C12-15 Alkyl Benzoate,[],Emollients,safe,safe,Lightweight emollient commonly used in sunscreens; generally safe.,False
167,Isononyl Isononanoate,[],Emollients,safe,safe,Emollient/texture agent; generally safe.,False
125,Sodium Benzoate,"[""odium benzoate""]",Preservatives,safe,safe,Preservative; generally safe.,False
132,Xanthan Gum,"[""xantham gum""]",Thickeners,safe,safe,Polysaccharide thickener; generally safe.,False
168,Hydrogenated Polyisobutene,[],Emollients,safe,safe,Emollient often used as mineral-oil alternative; generally safe.,False
169,Polyisobutene,[],Emollients,safe,safe,Emollient/film former; generally safe.,False
170,Isopropyl Palmitate,[],Emollients,safe,safe,Emollient; generally safe.,False
171,Cetyl Palmitate,[],Emollients,safe,safe,Waxy ester/emollient; generally safe.,False
172,Sunflower Seed Oil,"[""helianthus annuus (sunflower) seed oil""]",Plant Oils,safe,safe,Common plant oil; generally safe.,False
173,Grapeseed Oil,"[""vitis vinifera (grape) seed oil""]",Plant Oils,safe,safe,Light plant oil; generally safe.,False
174,Olive Oil,"[""olea europaea (olive) fruit oil""]",Plant Oils,safe,safe,Common plant oil; generally safe.,False
175,Sweet Almond Oil,"[""prunus amygdalus dulcis oil""]",Plant Oils,safe,safe,Plant oil; generally safe (avoid if nut allergy).,False
176,Avocado Oil,"[""persea gratissima (avocado) oil""]",Plant Oils,safe,safe,Plant oil; generally safe.,False
177,Rosehip Seed Oil,"[""rosa canina seed oil"", ""rosa rubiginosa seed oil""]",Plant Oils,safe,safe,Plant oil rich in fatty acids; generally safe.,False
179,Microcrystalline Wax,"[""cera microcristallina""]",Occlusives,safe,safe,Wax occlusive; generally safe.,False
180,Paraffin,"[""paraffinum liquidum"", ""mineral oil""]",Occlusives,safe,safe,Highly refined mineral ingredients are generally safe topically.,False
181,Ferulic Acid,[],Antioxidants,safe,safe,Antioxidant used with vitamin C/E; generally safe.,False
182,Resveratrol,[],Antioxidants,caution,caution,Potent polyphenol; limited pregnancy topical data—use caution.,False
183,Ubiquinone,"[""coenzyme q10"", ""coq10""]",Antioxidants,safe,safe,Antioxidant; generally safe topically.,False
184,Glutathione,[],Antioxidants,caution,caution,Brightening antioxidant; limited topical pregnancy data—use caution.,False
185,Phytic Acid,[],Exfoliants,safe,safe,Chelating/brightening acid; generally safe topically.,False
186,Succinic Acid,[],Acne Treatments,safe,safe,Acid used for acne/oil control; generally safe topically.,False
187,Palmitoyl Tripeptide-1,"[""pal-ghk""]",Peptides,safe,safe,Signal peptide used for anti-aging; generally safe.,False
188,Palmitoyl Tetrapeptide-7,[],Peptides,safe,safe,Peptide used in anti-aging formulas; generally safe.,False
189,Acetyl Hexapeptide-8,"[""argireline""]",Peptides,safe,safe,Peptide used for expression lines; generally safe.,False
190,Copper Tripeptide-1,"[""ghk-cu""]",Peptides,safe,safe,Copper peptide; generally safe topically.,False
191,Acrylates Copolymer,[],Film Formers,safe,safe,Film former/thickener; generally safe.,False
192,VP/VA Copolymer,[],Film Formers,safe,safe,Film former used in hair/makeup; generally safe.,False
193,PVP,"[""polyvinylpyrrolidone""]",Film Formers,safe,safe,Film former; generally safe.,False
194,Sodium Polyacrylate,[],Thickeners,safe,safe,Thickener/gel; generally safe.,False
195,Talc,[],Makeup Fillers,safe,safe,Mineral filler; generally safe in topical cosmetics.,False
196,Kaolin,"[""china clay""]",Makeup Fillers,safe,safe,Clay absorbent; generally safe.,False
197,Zinc Stearate,[],Makeup Fillers,safe,safe,Powder binder; generally safe.,False
198,Ultramarines,"[""ci 77007""]",Makeup Pigments,safe,safe,Mineral pigment; generally safe.,False
199,Chromium Oxide Greens,"[""ci 77288""]",Makeup Pigments,safe,safe,Mineral pigment; generally safe.,False
200,Butylated Hydroxyanisole,"[""bha antioxidant"", ""bha""]",Antioxidants,caution,caution,Antioxidant (BHA) used in some products; some prefer caution due to toxicology concerns.,False
201,Butylated Hydroxytoluene,"[""bht""]",Antioxidants,caution,caution,Antioxidant (BHT) used in some products; some prefer caution due to toxicology concerns.,False
203,PTFE,"[""polytetrafluoroethylene""]",PFAS,avoid,avoid,PFAS-related polymer used for slip/wear in makeup; many prefer to avoid.,True
204,Sodium C14-16 Olefin Sulfonate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
205,Disodium Laureth Sulfosuccinate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
206,Sodium Lauroyl Sarcosinate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
207,Sodium Cocoyl Isethionate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
208,Sodium Lauroyl Methyl Isethionate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
209,Behentrimonium Methosulfate,"[""btms""]",Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
210,Cetrimonium Chloride,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
211,Behentrimonium Chloride,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
212,Polyquaternium-7,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
213,Polyquaternium-10,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
214,Polyquaternium-37,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
215,Guar Hydroxypropyltrimonium Chloride,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
216,Amodimethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
217,Trimethylsiloxyphenyl Dimethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
218,Dimethiconol,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
219,Phenyl Trimethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
178,Beeswax,"[""cera alba"", ""beeswax / cire d'abeille"", ""beeswax/cera alba/cire d'abeille"", ""beeswax/cire d'abeille/cera alba""]",Occlusives,safe,safe,Wax occlusive; generally safe.,False
220,PEG-12 Dimethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
221,PEG-10 Dimethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
222,Boron Nitride,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
223,Synthetic Fluorphlogopite,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
224,Nylon-12,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
225,PMMA,"[""polymethyl methacrylate""]",Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
226,HDI/Trimethylol Hexyllactone Crosspolymer,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
227,Calcium Aluminum Borosilicate,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
228,Aluminum Hydroxide,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
229,Magnesium Stearate,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
230,Centella Asiatica Extract,[],Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
231,Houttuynia Cordata Extract,[],Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
232,Artemisia Vulgaris Extract,"[""mugwort extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
233,Ginseng Root Extract,"[""panax ginseng root extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
234,Rice Bran Extract,"[""oryza sativa bran extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
235,Cucumber Extract,"[""cucumis sativus fruit extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
236,Papaya Fruit Extract,"[""carica papaya fruit extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
237,Pumpkin Fruit Extract,"[""cucurbita pepo fruit extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
238,Blueberry Extract,"[""vaccinium angustifolium fruit extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
239,Pomegranate Extract,"[""punica granatum extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
240,Trimethylsiloxysilicate,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic use.,False
241,Acrylates/Dimethicone Copolymer,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic use.,False
242,Polyurethane-35,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic use.,False
243,VP/Eicosene Copolymer,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic use.,False
244,AMP-Acrylates Copolymer,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic use.,False
245,Diethylhexyl Syringylidenemalonate,"[""oxynex st""]",Antioxidants,safe,safe,Generally considered safe in topical cosmetic use.,False
246,Ethylhexyl Ferulate,[],Antioxidants,safe,safe,Generally considered safe in topical cosmetic use.,False
247,Sodium Dehydroacetate,[],Preservatives,safe,safe,Generally considered safe in topical cosmetic use.,False
248,Gluconic Acid,[],Preservatives,safe,safe,Generally considered safe in topical cosmetic use.,False
249,Calcium Gluconate,[],Preservatives,safe,safe,Generally considered safe in topical cosmetic use.,False
250,Tromethamine,"[""tris buffer"", ""tris(hydroxymethyl)aminomethane""]",pH Adjusters,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
251,Sodium Metabisulfite,[],Stabilizers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
252,Sodium Bisulfite,[],Stabilizers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
253,Ammonium Hydroxide,"[""ammonia""]",pH Adjusters,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
254,Sodium Phosphate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
255,Disodium Phosphate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
256,Potassium Phosphate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
257,Monosodium Phosphate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
